Internship_id,Intrnship_Title,Attribute,Skills
A12,Human Resources,Technical Skills,Recruitment
A12,Human Resources,Technical Skills,Reporting
A13,Human Resources,Technical Skills,Analytics
A13,Human Resources,Technical Skills,Dashboard
A13,Human Resources,Technical Skills,Excel
A13,Human Resources,Technical Skills,MS Excel
A13,Human Resources,Technical Skills,Pivot Tables
A13,Human Resources,Technical Skills,PowerPoint
A13,Human Resources,Technical Skills,Recruitment
A13,Human Resources,Technical Skills,Reporting
A13,Human Resources,Technical Skills,Sourcing
A13,Human Resources,Technical Skills,VLOOKUP
A13,Human Resources,Soft Skills,Communication
A13,Human Resources,Soft Skills,Presentation
A13,Human Resources,Soft Skills,Problem Solving
A14,Human Resources,Technical Skills,Excel
A14,Human Resources,Technical Skills,MS Office
A14,Human Resources,Technical Skills,MS Word
A14,Human Resources,Technical Skills,Recruitment
A14,Human Resources,Technical Skills,Screening
A14,Human Resources,Technical Skills,Sourcing
A14,Human Resources,Soft Skills,Attention to Detail
A14,Human Resources,Soft Skills,Communication
A14,Human Resources,Soft Skills,Initiative
A14,Human Resources,Soft Skills,Interpersonal
A14,Human Resources,Soft Skills,Organizational
A14,Human Resources,HR Tools,Outlook
A15,Talent Acquisition,Technical Skills,Recruitment
A15,Talent Acquisition,Technical Skills,Screening
A15,Talent Acquisition,Technical Skills,Sourcing
A16,Recruitment,Technical Skills,Recruitment
A16,Recruitment,Technical Skills,Screening
A16,Recruitment,Technical Skills,Social Media
A16,Recruitment,Technical Skills,Sourcing
A17,HR Operations,Technical Skills,Sourcing
A17,HR Operations,Soft Skills,Attention to Detail
A17,HR Operations,HR Tools,Payroll
A18,HR Trainee,Technical Skills,Recruitment
A19,Human Resources,Technical Skills,Recruitment
A19,Human Resources,Technical Skills,Screening
A19,Human Resources,Soft Skills,Communication
A19,Human Resources,Soft Skills,English
A19,Human Resources,Soft Skills,Initiative
A19,Human Resources,Soft Skills,Negotiation
A20,Human Resources,Technical Skills,Screening
A21,Human Resources,Technical Skills,Recruitment
A22,Human Resources,Technical Skills,Recruitment
A22,Human Resources,Technical Skills,Social Media
A22,Human Resources,Technical Skills,Sourcing
A23,Human Resources,Technical Skills,Recruitment
A23,Human Resources,Technical Skills,Sourcing
A24,Human Resources,Technical Skills,Sourcing
A25,Human Resources,Technical Skills,Recruitment
A25,Human Resources,Technical Skills,Social Media
A25,Human Resources,Technical Skills,Sourcing
A25,Human Resources,Soft Skills,Communication
A25,Human Resources,HR Tools,ATS
A26,HR Admin,Technical Skills,Recruitment
A26,HR Admin,Soft Skills,Communication
A27,Human Resources,Technical Skills,Recruitment
A27,Human Resources,Technical Skills,Reporting
A27,Human Resources,Technical Skills,Social Media
A28,HR Generalist,Technical Skills,Excel
A28,HR Generalist,Technical Skills,MS Word
A28,HR Generalist,Technical Skills,Recruitment
A28,HR Generalist,Technical Skills,Sourcing
A28,HR Generalist,Soft Skills,Communication
A28,HR Generalist,Soft Skills,English
A28,HR Generalist,Soft Skills,Interpersonal
A29,Human Resources,Technical Skills,Excel
A29,Human Resources,Technical Skills,MS Office
A29,Human Resources,Technical Skills,Recruitment
A29,Human Resources,Technical Skills,Screening
A29,Human Resources,Technical Skills,Sourcing
A29,Human Resources,Soft Skills,Communication
A29,Human Resources,Soft Skills,English
A29,Human Resources,Soft Skills,Initiative
A29,Human Resources,Soft Skills,Interpersonal
A30,Human Resources,Soft Skills,Communication
A31,Human Resources,Technical Skills,Recruitment
A31,Human Resources,Technical Skills,Screening
A31,Human Resources,Technical Skills,Sourcing
A31,Human Resources,Soft Skills,Communication
A31,Human Resources,Soft Skills,Initiative
A31,Human Resources,Soft Skills,Ownership
A31,Human Resources,HR Tools,Payroll
A32,Human Resources,HR Tools,ATS
A32,Human Resources,HR Tools,Payroll
A33,Human Resources,Technical Skills,Recruitment
A34,Talent Acquisition,Technical Skills,Recruitment
A34,Talent Acquisition,Technical Skills,Social Media
A35,Talent Acquisition,Technical Skills,Dashboard
A35,Talent Acquisition,Soft Skills,Communication
A35,Talent Acquisition,HR Tools,Naukri
A36,Human Resources,Technical Skills,Recruitment
A36,Human Resources,Technical Skills,Screening
A36,Human Resources,Technical Skills,Sourcing
A36,Human Resources,Soft Skills,Attention to Detail
A37,Human Resources,Technical Skills,Excel
A37,Human Resources,Technical Skills,MS Word
A37,Human Resources,Technical Skills,Recruitment
A37,Human Resources,Technical Skills,Screening
A37,Human Resources,Technical Skills,Sourcing
A37,Human Resources,Soft Skills,English
A38,Human Resources,Technical Skills,Google Sheets
A38,Human Resources,Technical Skills,Recruitment
A38,Human Resources,Technical Skills,Sourcing
A39,Human Resources,Technical Skills,Screening
A40,Human Resources,HR Tools,ATS
A40,Human Resources,HR Tools,Payroll
A41,Recruitment Consultant,Technical Skills,Recruitment
A41,Recruitment Consultant,Soft Skills,Communication
A41,Recruitment Consultant,Soft Skills,Organizational
A42,Talent Acquisition,Technical Skills,MS Office
A42,Talent Acquisition,Technical Skills,Recruitment
A42,Talent Acquisition,Technical Skills,Screening
A42,Talent Acquisition,Technical Skills,Sourcing
A42,Talent Acquisition,Soft Skills,English
A43,Human Resources,Technical Skills,Recruitment
A43,Human Resources,Soft Skills,Communication
A43,Human Resources,Soft Skills,Initiative
A43,Human Resources,HR Tools,HRMS
A44,Talent Acquisition,Technical Skills,Excel
A44,Talent Acquisition,Technical Skills,Recruitment
A44,Talent Acquisition,Technical Skills,Screening
A44,Talent Acquisition,Soft Skills,English
A45,Talent Acquisition,Technical Skills,MS Office
A45,Talent Acquisition,Technical Skills,Recruitment
A45,Talent Acquisition,Technical Skills,Social Media
A45,Talent Acquisition,Soft Skills,Communication
A45,Talent Acquisition,Soft Skills,Interpersonal
A46,Recruitment,Technical Skills,Recruitment
A46,Recruitment,Soft Skills,Communication
A46,Recruitment,Soft Skills,Initiative
A46,Recruitment,HR Tools,ATS
A46,Recruitment,HR Tools,SAP
A47,Talent Acquisition,Technical Skills,Social Media
A47,Talent Acquisition,Soft Skills,Initiative
A48,Campus Relations,Technical Skills,Recruitment
A48,Campus Relations,Soft Skills,Communication
A48,Campus Relations,Soft Skills,Initiative
A49,Talent Acquisition,Technical Skills,Recruitment
A49,Talent Acquisition,Technical Skills,Sourcing
A50,Human Resources,Technical Skills,Recruitment
A50,Human Resources,Technical Skills,Sourcing
A50,Human Resources,Soft Skills,Communication
A50,Human Resources,Soft Skills,English
A50,Human Resources,Soft Skills,Initiative
A51,Human Resources,Technical Skills,Recruitment
A51,Human Resources,Technical Skills,Screening
A51,Human Resources,Soft Skills,Communication
A52,Recruitment,Technical Skills,Social Media
A52,Recruitment,Soft Skills,Communication
A53,Recruitment,Technical Skills,Social Media
A53,Recruitment,Soft Skills,Communication
A54,Recruitment Consultant,Technical Skills,Recruitment
A54,Recruitment Consultant,Technical Skills,Screening
A54,Recruitment Consultant,Technical Skills,Sourcing
A54,Recruitment Consultant,Soft Skills,Communication
A55,Human Resources,Technical Skills,Recruitment
A55,Human Resources,Technical Skills,Screening
A55,Human Resources,Technical Skills,Social Media
A55,Human Resources,Soft Skills,Collaboration
A56,Human Resources,Technical Skills,Applicant Tracking System
A56,Human Resources,Technical Skills,Excel
A56,Human Resources,Technical Skills,Recruitment
A56,Human Resources,Technical Skills,Sourcing
A56,Human Resources,Soft Skills,Communication
A56,Human Resources,Soft Skills,Initiative
A56,Human Resources,Soft Skills,Networking
A57,Human Resources,Technical Skills,Recruitment
A57,Human Resources,Technical Skills,Screening
A57,Human Resources,Technical Skills,Sourcing
A58,Human Resources,Technical Skills,Excel
A58,Human Resources,Technical Skills,Recruitment
A58,Human Resources,Technical Skills,Screening
A58,Human Resources,Technical Skills,Sourcing
A58,Human Resources,Soft Skills,Communication
A58,Human Resources,Soft Skills,English
A58,Human Resources,Soft Skills,Initiative
A59,Human Resources,Technical Skills,Recruitment
A59,Human Resources,Technical Skills,Screening
A59,Human Resources,Technical Skills,Sourcing
A60,Human Resources,Technical Skills,Excel
A60,Human Resources,Technical Skills,MS Word
A60,Human Resources,Technical Skills,Recruitment
A60,Human Resources,Technical Skills,Screening
A60,Human Resources,Soft Skills,English
A60,Human Resources,Soft Skills,Problem Solving
A60,Human Resources,Soft Skills,Time Management
A62,Human Resources,Technical Skills,Recruitment
A62,Human Resources,Technical Skills,Reporting
A62,Human Resources,Technical Skills,Screening
A62,Human Resources,HR Tools,HRMS
A64,Recruitment,Technical Skills,Recruitment
A64,Recruitment,Technical Skills,Screening
A64,Recruitment,Technical Skills,Social Media
A65,HR Operations,Technical Skills,Recruitment
A66,Recruitment,Technical Skills,Recruitment
A67,Recruitment,Technical Skills,Applicant Tracking System
A67,Recruitment,Technical Skills,Recruitment
A67,Recruitment,Technical Skills,Screening
A67,Recruitment,Technical Skills,Sourcing
A67,Recruitment,HR Tools,ATS
A68,Human Resources,Technical Skills,Screening
A68,Human Resources,Technical Skills,Sourcing
A69,HR,Technical Skills,Recruitment
A69,HR,Technical Skills,Screening
A69,HR,Technical Skills,Sourcing
A69,HR,HR Tools,Payroll
A70,Human Resources,Technical Skills,Excel
A70,Human Resources,Technical Skills,Recruitment
A70,Human Resources,Technical Skills,Screening
A70,Human Resources,Soft Skills,English
A70,Human Resources,Soft Skills,Initiative
A71,Human Resources,Technical Skills,Recruitment
A71,Human Resources,Technical Skills,Screening
A71,Human Resources,Technical Skills,Social Media
A71,Human Resources,Soft Skills,Communication
A72,Human Resources,Technical Skills,Recruitment
A72,Human Resources,HR Tools,Payroll
A73,Human Resources,Technical Skills,Excel
A73,Human Resources,Technical Skills,Recruitment
A73,Human Resources,Technical Skills,Social Media
A73,Human Resources,Technical Skills,Sourcing
A73,Human Resources,Soft Skills,Communication
A73,Human Resources,Soft Skills,Interpersonal
A73,Human Resources,Soft Skills,Organizational
A74,Human Resources,Technical Skills,Screening
A74,Human Resources,Soft Skills,Communication
A74,Human Resources,Soft Skills,Presentation
A75,Recruitment,Technical Skills,Excel
A75,Recruitment,Technical Skills,Social Media
A75,Recruitment,Soft Skills,Communication
A75,Recruitment,Soft Skills,Confidence
A75,Recruitment,Soft Skills,Interpersonal
A75,Recruitment,Soft Skills,Networking
A76,Recruitment,Technical Skills,Recruitment
A76,Recruitment,Technical Skills,Screening
A77,Human Resources,Soft Skills,Initiative
A77,Human Resources,Soft Skills,Leadership
A77,Human Resources,Soft Skills,Networking
A77,Human Resources,Soft Skills,Presentation
A78,Recruitment,Technical Skills,Python
A78,Recruitment,Technical Skills,Recruitment
A78,Recruitment,Technical Skills,Screening
A78,Recruitment,Technical Skills,Sourcing
A78,Recruitment,Soft Skills,Communication
A79,Talent Acquisition,Technical Skills,Excel
A79,Talent Acquisition,Technical Skills,Recruitment
A79,Talent Acquisition,Technical Skills,Screening
A79,Talent Acquisition,Soft Skills,Attention to Detail
A79,Talent Acquisition,Soft Skills,Communication
A80,Recruitment,Technical Skills,Excel
A80,Recruitment,Technical Skills,Interviewing
A80,Recruitment,Technical Skills,Recruitment
A80,Recruitment,Technical Skills,Screening
A80,Recruitment,Technical Skills,Sourcing
A80,Recruitment,Soft Skills,Attention to Detail
A80,Recruitment,Soft Skills,English
A80,Recruitment,Soft Skills,Initiative
A81,Human Resources,Soft Skills,Communication
A81,Human Resources,Soft Skills,Initiative
A81,Human Resources,HR Tools,HRMS
A82,Recruitment,Soft Skills,Negotiation
A83,Human Resources,Technical Skills,Excel
A83,Human Resources,Technical Skills,MS Office
A83,Human Resources,Technical Skills,MS Word
A83,Human Resources,Technical Skills,PowerPoint
A83,Human Resources,Technical Skills,Recruitment
A83,Human Resources,Technical Skills,Reporting
A83,Human Resources,Soft Skills,Communication
A83,Human Resources,Soft Skills,Time Management
A84,Human Resources,Technical Skills,Analytics
A84,Human Resources,Technical Skills,Dashboard
A84,Human Resources,Technical Skills,MS Office
A84,Human Resources,Soft Skills,Adaptability
A84,Human Resources,Soft Skills,Communication
A85,Human Resources,Technical Skills,Analytics
A85,Human Resources,Technical Skills,Recruitment
A85,Human Resources,Technical Skills,Reporting
A85,Human Resources,Technical Skills,Screening
A85,Human Resources,Technical Skills,Sourcing
A85,Human Resources,Soft Skills,Communication
A85,Human Resources,Soft Skills,Initiative
A86,Human Resources,Technical Skills,Recruitment
A87,Talent Acquisition,Technical Skills,Interviewing
A87,Talent Acquisition,Technical Skills,Recruitment
A87,Talent Acquisition,Technical Skills,Screening
A87,Talent Acquisition,Technical Skills,Sourcing
A87,Talent Acquisition,Soft Skills,Initiative
A87,Talent Acquisition,Soft Skills,Presentation
A88,Recruitment,Technical Skills,Screening
A89,Human Resources,Technical Skills,Recruitment
A89,Human Resources,Soft Skills,Initiative
A89,Human Resources,HR Tools,Payroll
A90,Human Resources,HR Tools,ATS
A90,Human Resources,HR Tools,Payroll
A91,Recruitment,Technical Skills,Recruitment
A92,Human Resources,Technical Skills,Data Analysis
A92,Human Resources,Technical Skills,Excel
A92,Human Resources,Technical Skills,MS Excel
A92,Human Resources,Technical Skills,Recruitment
A92,Human Resources,Technical Skills,Screening
A92,Human Resources,Soft Skills,Attention to Detail
A92,Human Resources,Soft Skills,Communication
A92,Human Resources,Soft Skills,English
A94,Recruitment Consultant,Technical Skills,Screening
A95,Talent Acquisition,Technical Skills,Applicant Tracking System
A95,Talent Acquisition,Technical Skills,Recruitment
A95,Talent Acquisition,Technical Skills,Screening
A95,Talent Acquisition,Technical Skills,Social Media
A95,Talent Acquisition,HR Tools,ATS
A96,Associate Recruiter,Technical Skills,Applicant Tracking System
A96,Associate Recruiter,Technical Skills,Recruitment
A96,Associate Recruiter,Technical Skills,Screening
A96,Associate Recruiter,Technical Skills,Social Media
A96,Associate Recruiter,HR Tools,ATS
A98,Human Resources,Technical Skills,Excel
A98,Human Resources,Technical Skills,MS Word
A98,Human Resources,Technical Skills,Recruitment
A98,Human Resources,Technical Skills,Screening
A98,Human Resources,Soft Skills,English
A98,Human Resources,Soft Skills,Initiative
A99,Human Resources,Technical Skills,Recruitment
A99,Human Resources,Technical Skills,Screening
A99,Human Resources,Soft Skills,Initiative
A99,Human Resources,HR Tools,Payroll
A100,Recruitment,Technical Skills,Recruitment
A100,Recruitment,Technical Skills,Screening
A100,Recruitment,Soft Skills,English
A100,Recruitment,Soft Skills,Initiative
A101,Human Resources,Technical Skills,Recruitment
A101,Human Resources,Technical Skills,Screening
A101,Human Resources,Technical Skills,Social Media
A101,Human Resources,Technical Skills,Sourcing
A102,Human Resources,Technical Skills,Recruitment
A102,Human Resources,Technical Skills,Sourcing
A102,Human Resources,Soft Skills,Initiative
A102,Human Resources,Soft Skills,Ownership
A104,HR Generalist,Technical Skills,Recruitment
A104,HR Generalist,Soft Skills,Adaptability
A104,HR Generalist,Soft Skills,Communication
A104,HR Generalist,Soft Skills,Initiative
A104,HR Generalist,Soft Skills,Organizational
A104,HR Generalist,Soft Skills,Problem Solving
A105,Human Resources,Technical Skills,Boolean Search
A105,Human Resources,Technical Skills,Reporting
A105,Human Resources,Technical Skills,Screening
A105,Human Resources,Technical Skills,Social Media
A105,Human Resources,Technical Skills,Sourcing
A105,Human Resources,Soft Skills,Ownership
A105,Human Resources,HR Tools,LinkedIn Recruiter
A106,Human Resources,Technical Skills,Excel
A106,Human Resources,Technical Skills,MS Word
A106,Human Resources,Technical Skills,Recruitment
A106,Human Resources,Technical Skills,Screening
A106,Human Resources,Soft Skills,Communication
A106,Human Resources,Soft Skills,English
A106,Human Resources,Soft Skills,Initiative
A107,Human Resources,Technical Skills,Interviewing
A107,Human Resources,Technical Skills,Sourcing
A108,Talent Acquisition,Technical Skills,Recruitment
A108,Talent Acquisition,Technical Skills,Screening
A108,Talent Acquisition,Technical Skills,Social Media
A108,Talent Acquisition,Soft Skills,Communication
A109,Human Resources,Technical Skills,Recruitment
A109,Human Resources,Soft Skills,Communication
A109,Human Resources,HR Tools,ATS
A109,Human Resources,HR Tools,SAP
A111,Recruitment,Technical Skills,Excel
A111,Recruitment,Technical Skills,Recruitment
A111,Recruitment,Technical Skills,Screening
A111,Recruitment,Technical Skills,Sourcing
A111,Recruitment,Soft Skills,English
A113,Human Resources,Technical Skills,Excel
A113,Human Resources,Technical Skills,Interviewing
A113,Human Resources,Technical Skills,MS Excel
A113,Human Resources,Technical Skills,MS Office
A113,Human Resources,Technical Skills,MS Word
A113,Human Resources,Technical Skills,Recruitment
A113,Human Resources,Technical Skills,Reporting
A113,Human Resources,Technical Skills,Screening
A113,Human Resources,Soft Skills,Collaboration
A113,Human Resources,Soft Skills,English
A113,Human Resources,HR Tools,Payroll
A114,Human Resources,Technical Skills,Recruitment
A114,Human Resources,Technical Skills,Screening
A114,Human Resources,Soft Skills,Initiative
A115,Human Resources,Soft Skills,Initiative
A115,Human Resources,Soft Skills,Presentation
A116,HR Generalist,Soft Skills,Initiative
A116,HR Generalist,Soft Skills,Presentation
A117,Human Resources,Technical Skills,Recruitment
A117,Human Resources,Technical Skills,Social Media
A117,Human Resources,HR Tools,ATS
A117,Human Resources,HR Tools,SAP
A124,Human Resources,Technical Skills,Boolean Search
A124,Human Resources,Technical Skills,Google Sheets
A124,Human Resources,Technical Skills,Job Portals
A124,Human Resources,Technical Skills,LinkedIn
A124,Human Resources,Technical Skills,MS Excel
A124,Human Resources,Technical Skills,Resume Screening
A124,Human Resources,Soft Skills,Attention to Detail
A124,Human Resources,Soft Skills,Communication
A124,Human Resources,Soft Skills,Eagerness to Learn
A124,Human Resources,Soft Skills,Multitasking
A124,Human Resources,Soft Skills,Organization
A124,Human Resources,Soft Skills,Teamwork
A124,Human Resources,HR Tools,ATS
A124,Human Resources,HR Tools,Canva
A124,Human Resources,HR Tools,Google Workspace
A124,Human Resources,HR Tools,Recruiter
A125,Human Resources,Technical Skills,Boolean Search
A125,Human Resources,Technical Skills,Google Sheets
A125,Human Resources,Technical Skills,Job Portals
A125,Human Resources,Technical Skills,LinkedIn
A125,Human Resources,Technical Skills,MS Excel
A125,Human Resources,Technical Skills,Resume Screening
A125,Human Resources,Soft Skills,Attention to Detail
A125,Human Resources,Soft Skills,Communication
A125,Human Resources,Soft Skills,Eagerness to Learn
A125,Human Resources,Soft Skills,Multitasking
A125,Human Resources,Soft Skills,Organization
A125,Human Resources,Soft Skills,Teamwork
A125,Human Resources,HR Tools,ATS
A125,Human Resources,HR Tools,Canva
A125,Human Resources,HR Tools,Google Workspace
A125,Human Resources,HR Tools,Recruiter
A126,Human Resources,Technical Skills,Boolean Search
A126,Human Resources,Technical Skills,Google Sheets
A126,Human Resources,Technical Skills,Job Portals
A126,Human Resources,Technical Skills,LinkedIn
A126,Human Resources,Technical Skills,MS Excel
A126,Human Resources,Technical Skills,Resume Screening
A126,Human Resources,Soft Skills,Attention to Detail
A126,Human Resources,Soft Skills,Communication
A126,Human Resources,Soft Skills,Eagerness to Learn
A126,Human Resources,Soft Skills,Multitasking
A126,Human Resources,Soft Skills,Organization
A126,Human Resources,Soft Skills,Teamwork
A126,Human Resources,HR Tools,ATS
A126,Human Resources,HR Tools,Canva
A126,Human Resources,HR Tools,Google Workspace
A126,Human Resources,HR Tools,Recruiter
A127,Recruitment,Technical Skills,Boolean Search
A127,Recruitment,Technical Skills,Google Sheets
A127,Recruitment,Technical Skills,Job Portals
A127,Recruitment,Technical Skills,LinkedIn
A127,Recruitment,Technical Skills,MS Excel
A127,Recruitment,Technical Skills,Resume Screening
A127,Recruitment,Soft Skills,Attention to Detail
A127,Recruitment,Soft Skills,Communication
A127,Recruitment,Soft Skills,Eagerness to Learn
A127,Recruitment,Soft Skills,Multitasking
A127,Recruitment,Soft Skills,Organization
A127,Recruitment,Soft Skills,Teamwork
A127,Recruitment,HR Tools,ATS
A127,Recruitment,HR Tools,Canva
A127,Recruitment,HR Tools,Google Workspace
A127,Recruitment,HR Tools,Recruiter
A128,Recruitment,Technical Skills,Boolean Search
A128,Recruitment,Technical Skills,Candidate Database Management
A128,Recruitment,Technical Skills,Google Sheets
A128,Recruitment,Technical Skills,Job Portals
A128,Recruitment,Technical Skills,LinkedIn Sourcing
A128,Recruitment,Technical Skills,MS Excel
A128,Recruitment,Technical Skills,Screening & Interviewing
A128,Recruitment,Soft Skills,Attention to Detail
A128,Recruitment,Soft Skills,Communication
A128,Recruitment,Soft Skills,Interpersonal Skills
A128,Recruitment,Soft Skills,Negotiation
A128,Recruitment,Soft Skills,Networking
A128,Recruitment,Soft Skills,Time Management
A128,Recruitment,HR Tools,ATS
A128,Recruitment,HR Tools,Google Workspace
A128,Recruitment,HR Tools,Recruiter
A129,Recruitment,Technical Skills,Boolean Search
A129,Recruitment,Technical Skills,Google Sheets
A129,Recruitment,Technical Skills,Job Portals
A129,Recruitment,Technical Skills,LinkedIn
A129,Recruitment,Technical Skills,MS Excel
A129,Recruitment,Technical Skills,Resume Screening
A129,Recruitment,Soft Skills,Attention to Detail
A129,Recruitment,Soft Skills,Communication
A129,Recruitment,Soft Skills,Eagerness to Learn
A129,Recruitment,Soft Skills,Multitasking
A129,Recruitment,Soft Skills,Organization
A129,Recruitment,Soft Skills,Teamwork
A129,Recruitment,HR Tools,ATS
A129,Recruitment,HR Tools,Canva
A129,Recruitment,HR Tools,Google Workspace
A129,Recruitment,HR Tools,Recruiter
A130,Talent Acquisition,Technical Skills,Boolean Search
A130,Talent Acquisition,Technical Skills,Google Sheets
A130,Talent Acquisition,Technical Skills,Job Portals
A130,Talent Acquisition,Technical Skills,LinkedIn
A130,Talent Acquisition,Technical Skills,MS Excel
A130,Talent Acquisition,Technical Skills,Resume Screening
A130,Talent Acquisition,Soft Skills,Attention to Detail
A130,Talent Acquisition,Soft Skills,Communication
A130,Talent Acquisition,Soft Skills,Eagerness to Learn
A130,Talent Acquisition,Soft Skills,Multitasking
A130,Talent Acquisition,Soft Skills,Organization
A130,Talent Acquisition,Soft Skills,Teamwork
A130,Talent Acquisition,HR Tools,ATS
A130,Talent Acquisition,HR Tools,Canva
A130,Talent Acquisition,HR Tools,Google Workspace
A130,Talent Acquisition,HR Tools,Recruiter
A131,HR,Technical Skills,Boolean Search
A131,HR,Technical Skills,Google Sheets
A131,HR,Technical Skills,Job Portals
A131,HR,Technical Skills,LinkedIn
A131,HR,Technical Skills,MS Excel
A131,HR,Technical Skills,Resume Screening
A131,HR,Soft Skills,Attention to Detail
A131,HR,Soft Skills,Communication
A131,HR,Soft Skills,Eagerness to Learn
A131,HR,Soft Skills,Multitasking
A131,HR,Soft Skills,Organization
A131,HR,Soft Skills,Teamwork
A131,HR,HR Tools,ATS
A131,HR,HR Tools,Canva
A131,HR,HR Tools,Google Workspace
A131,HR,HR Tools,Recruiter
A132,Recruitment,Technical Skills,Boolean Search
A132,Recruitment,Technical Skills,Google Sheets
A132,Recruitment,Technical Skills,Job Portals
A132,Recruitment,Technical Skills,LinkedIn
A132,Recruitment,Technical Skills,MS Excel
A132,Recruitment,Technical Skills,Resume Screening
A132,Recruitment,Soft Skills,Attention to Detail
A132,Recruitment,Soft Skills,Communication
A132,Recruitment,Soft Skills,Eagerness to Learn
A132,Recruitment,Soft Skills,Multitasking
A132,Recruitment,Soft Skills,Organization
A132,Recruitment,Soft Skills,Teamwork
A132,Recruitment,HR Tools,ATS
A132,Recruitment,HR Tools,Canva
A132,Recruitment,HR Tools,Google Workspace
A132,Recruitment,HR Tools,Recruiter
A133,HR,Technical Skills,Compliance Knowledge
A133,HR,Technical Skills,HRIS
A133,HR,Technical Skills,MS Excel
A133,HR,Technical Skills,People Analytics
A133,HR,Technical Skills,Process Design
A133,HR,Soft Skills,Communication
A133,HR,Soft Skills,Decision Making
A133,HR,Soft Skills,Employee Relations
A133,HR,Soft Skills,Leadership
A133,HR,Soft Skills,Problem Solving
A133,HR,Soft Skills,Stakeholder Management
A133,HR,HR Tools,ADP
A133,HR,HR Tools,BambooHR
A133,HR,HR Tools,G-Suite
A133,HR,HR Tools,HRMS
A133,HR,HR Tools,Slack
A133,HR,HR Tools,Workday
A134,HR Admin,Technical Skills,Boolean Search
A134,HR Admin,Technical Skills,Google Sheets
A134,HR Admin,Technical Skills,Job Portals
A134,HR Admin,Technical Skills,LinkedIn
A134,HR Admin,Technical Skills,MS Excel
A134,HR Admin,Technical Skills,Resume Screening
A134,HR Admin,Soft Skills,Attention to Detail
A134,HR Admin,Soft Skills,Communication
A134,HR Admin,Soft Skills,Eagerness to Learn
A134,HR Admin,Soft Skills,Multitasking
A134,HR Admin,Soft Skills,Organization
A134,HR Admin,Soft Skills,Teamwork
A134,HR Admin,HR Tools,ATS
A134,HR Admin,HR Tools,Canva
A134,HR Admin,HR Tools,Google Workspace
A134,HR Admin,HR Tools,Recruiter
A135,HR Intern,Technical Skills,MS Excel
A135,HR Intern,Technical Skills,Google Sheets
A135,HR Intern,Technical Skills,LinkedIn
A135,HR Intern,Technical Skills,Job Portals
A135,HR Intern,Technical Skills,Boolean Search (basic)
A135,HR Intern,Technical Skills,Resume Screening
A135,HR Intern,Soft Skills,Communication
A135,HR Intern,Soft Skills,Eagerness to Learn
A135,HR Intern,Soft Skills,Organization
A135,HR Intern,Soft Skills,Multitasking
A135,HR Intern,Soft Skills,Attention to Detail
A135,HR Intern,Soft Skills,Teamwork
A135,HR Intern,HR Tools,LinkedIn Recruiter
A135,HR Intern,HR Tools,Naukri
A135,HR Intern,HR Tools,Internshala
A135,HR Intern,HR Tools,ATS (basic)
A135,HR Intern,HR Tools,Google Workspace
A135,HR Intern,HR Tools,Canva
A136,HR Intern,Technical Skills,MS Excel
A136,HR Intern,Technical Skills,Google Sheets
A136,HR Intern,Technical Skills,LinkedIn
A136,HR Intern,Technical Skills,Job Portals
A136,HR Intern,Technical Skills,Boolean Search (basic)
