Internship_id,Internship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link,Duration_Months,Duration_Category,Stipend_Status,Average_Stipend,City_Clean,State_Clean,Stipend_Flag,Stipend_Range,Stipend_Midpoint,Has_Stipend,Is_Remote,Is_Hybrid,Is_Onsite,Is_Full_Time,Is_Part_Time,Skill_Count,Technical_Skill_Count,Soft_Skill_Count,HR_Tool_Count,Education_Level
A16,Recruitment,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-multiple-locations-at-team-management-services-tms1785233265,6.0,Long-term,Paid,8500.0,Thane,Maharashtra,Normal,3000.0,8500.0,1,0,0,0,0,0,4,4,0,0,Other
A17,HR Operations,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,HR Operations,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/operations-internship-in-multiple-locations-at-team-management-services-tms1785233185,6.0,Long-term,Paid,8500.0,Thane,Maharashtra,Normal,3000.0,8500.0,1,0,0,0,0,0,3,1,1,1,Other
A18,HR Trainee,Aarti Pharmalabs Limited,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8000.0,10000.0,Internshala,https://internshala.com/internship/detail/hr-trainee-internship-in-mumbai-at-aarti-pharmalabs-limited1785216369,6.0,Long-term,Paid,9000.0,Mumbai,Maharashtra,Normal,2000.0,9000.0,1,0,0,0,0,0,1,1,0,0,Other
A19,Human Resources,Mahindra & Mahindra Financial Services,BFSI,MNC,Not Specified,Bhopal,Madhya Pradesh,Not Specified,Talent Acquisition & Recruitment,6,10000.0,14500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-mahindra-mahindra-financial-services1784898951,6.0,Long-term,Paid,12250.0,Bhopal,Madhya Pradesh,Normal,4500.0,12250.0,1,0,0,0,0,0,6,2,4,0,Other
A20,Human Resources,BVC Logistics,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-bvc-logistics1784880471,6.0,Long-term,Paid,12500.0,Mumbai,Maharashtra,Normal,5000.0,12500.0,1,0,0,0,0,0,1,1,0,0,Other
A21,Human Resources,The Belgian Waffle Co.,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,12000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-the-belgian-waffle-co1784871236,6.0,Long-term,Paid,11000.0,Pune,Maharashtra,Normal,2000.0,11000.0,1,0,0,0,0,0,1,1,0,0,Other
A22,Human Resources,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-team-management-services-tms1784807147,6.0,Long-term,Paid,8500.0,Thane,Maharashtra,Normal,3000.0,8500.0,1,0,0,0,0,0,3,3,0,0,Other
A23,Human Resources,Easy Home Finance,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-easy-home-finance1784523921,3.0,Medium-term,Paid,7500.0,Mumbai,Maharashtra,Normal,5000.0,7500.0,1,0,0,0,0,0,2,2,0,0,Other
A24,Human Resources,Raam Group,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,Talent Acquisition & Recruitment,3,15000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-raam-group1784025042,3.0,Medium-term,Paid,,Hyderabad,Telangana,Not Specified,,,0,0,0,0,0,0,1,1,0,0,Other
A25,Human Resources,Talent Corner HR Services,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,6000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-talent-corner-hr-services1785642714,3.0,Medium-term,Paid,5500.0,Pune,Maharashtra,Normal,1000.0,5500.0,1,0,0,0,0,0,5,3,1,1,Other
A26,HR Admin,GenElek Technologies Private Limited,,Not Specified,Not Specified,,Delhi,Not Specified,HR Operations,2,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-delhi-at-genelek-technologies-private-limited1785758619,2.0,Short-term,Paid,12500.0,Not Specified,Delhi,Normal,5000.0,12500.0,1,0,0,0,0,0,2,1,1,0,Other
A27,Human Resources,Metnmat Research,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,10001.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-metnmat-research1785751970,6.0,Long-term,Paid,10000.5,Mumbai,Maharashtra,Normal,1.0,10000.5,1,0,0,0,0,0,3,3,0,0,Other
A28,HR Generalist,Stirring Minds,,Not Specified,Not Specified,,Delhi,Not Specified,HR Operations,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/generalist-hr-internship-in-delhi-at-stirring-minds1785750208,6.0,Long-term,Paid,8500.0,Not Specified,Delhi,Normal,3000.0,8500.0,1,0,0,0,0,0,7,4,3,0,Other
A29,Human Resources,Stirring Minds,,Not Specified,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-stirring-minds1785738504,6.0,Long-term,Paid,8500.0,Not Specified,Delhi,Normal,3000.0,8500.0,1,0,0,0,0,0,9,5,4,0,Other
A30,Human Resources,Bizknowmics,,Not Specified,Not Specified,Chennai,Tamil Nadu,Not Specified,Talent Acquisition & Recruitment,3,15000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-bizknowmics1785485072,3.0,Medium-term,Paid,,Chennai,Tamil Nadu,Not Specified,,,0,0,0,0,0,0,1,0,1,0,Other
A31,Human Resources,iFlame Consulting,,Consulting,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-iflame-consulting1785407939,3.0,Medium-term,Paid,8500.0,Pune,Maharashtra,Normal,3000.0,8500.0,1,0,0,0,0,0,7,3,3,1,Other
A32,Human Resources,Eduminatti,Education,Startup,Not Specified,Roorkee,Uttarakhand,Not Specified,Talent Acquisition & Recruitment,2,2000.0,2500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-roorkee-at-eduminatti1784608999,2.0,Short-term,Paid,2250.0,Roorkee,Uttarakhand,Normal,500.0,2250.0,1,0,0,0,0,0,2,0,0,2,Other
A33,Human Resources,HumanHire Corp,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,5000.0,7500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-humanhire-corp1785237996,4.0,Medium-term,Paid,6250.0,Jaipur,Rajasthan,Normal,2500.0,6250.0,1,0,0,0,0,0,1,1,0,0,Other
A34,Talent Acquisition,HumanHire Corp,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,8000.0,11500.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-jaipur-at-humanhire-corp1785238009,4.0,Medium-term,Paid,9750.0,Jaipur,Rajasthan,Normal,3500.0,9750.0,1,0,0,0,0,0,2,2,0,0,Other
A35,Talent Acquisition,Traya Health,Healthcare,Startup,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,15000.0,20000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-traya-health1785475588,3.0,Medium-term,Paid,17500.0,Mumbai,Maharashtra,Normal,5000.0,17500.0,1,0,0,0,0,0,3,1,1,1,Other
A36,Human Resources,Tanvi Chauhan,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-tanvi-chauhan1785334962,6.0,Long-term,Paid,,Mumbai,Maharashtra,Not Specified,,,0,0,0,0,0,0,4,3,1,0,Other
A37,Human Resources,Potens IT Services & Consultancy,,Consulting,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-potens-it-services-consultancy1785358884,6.0,Long-term,Paid,12500.0,Pune,Maharashtra,Normal,5000.0,12500.0,1,0,0,0,0,0,6,5,1,0,Other
A38,Human Resources,BNM Business Solutions LLP,,Consulting,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,7500.0,9000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-bnm-business-solutions-llp1785388437,3.0,Medium-term,Paid,8250.0,Thane,Maharashtra,Normal,1500.0,8250.0,1,0,0,0,0,0,3,3,0,0,Other
A39,Human Resources,Medius Technologies Private Limited,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,9500.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-medius-technologies-private-limited1784537363,6.0,Long-term,Paid,9750.0,Thane,Maharashtra,Normal,500.0,9750.0,1,0,0,0,0,0,1,1,0,0,Other
A40,Human Resources,Eduminatti,Education,Startup,Not Specified,Dehradun,Uttarakhand,Not Specified,Talent Acquisition & Recruitment,2,2000.0,2500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-dehradun-at-eduminatti1784515737,2.0,Short-term,Paid,2250.0,Dehradun,Uttarakhand,Normal,500.0,2250.0,1,0,0,0,0,0,2,0,0,2,Other
A41,Recruitment Consultant,Career Crafterz,,Not Specified,Not Specified,Faridabad,Haryana,Not Specified,Talent Acquisition & Recruitment,6,10000.0,,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-faridabad-at-career-crafterz1785564833,6.0,Long-term,Paid,,Faridabad,Haryana,Not Specified,,,0,0,0,0,0,0,3,1,2,0,Other
A42,Talent Acquisition,HR Assistance India Consultancy LLP,,Consulting,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,8000.0,,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-pune-at-hrassistance-india-consultancy-llp1784872111,3.0,Medium-term,Paid,,Pune,Maharashtra,Not Specified,,,0,0,0,0,0,0,5,4,1,0,Other
A43,Human Resources,Aurum Group,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,20000.0,Internshala,https://internshala.com/internship/detail/human-resources-male-internship-in-multiple-locations-at-aurum-group1784869134,6.0,Long-term,Paid,15000.0,Thane,Maharashtra,Normal,10000.0,15000.0,1,0,0,0,0,0,4,1,2,1,Other
A44,Talent Acquisition,Zell Education,Education,Educational Institution,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,6000.0,8000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-zell-education1784609793,3.0,Medium-term,Paid,7000.0,Mumbai,Maharashtra,Normal,2000.0,7000.0,1,0,0,0,0,0,4,3,1,0,Other
A45,Talent Acquisition,GNF International,,Not Specified,Not Specified,Ahmedabad,Gujarat,Not Specified,Talent Acquisition & Recruitment,6,5000.0,15000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-ahmedabad-at-gnf-international1783687981,6.0,Long-term,Paid,10000.0,Ahmedabad,Gujarat,Normal,10000.0,10000.0,1,0,0,0,0,0,5,3,2,0,Other
A46,Recruitment,Confluencr,,Not Specified,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,2,5000.0,6000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-confluencr1784177577,2.0,Short-term,Paid,5500.0,Bengaluru,Karnataka,Normal,1000.0,5500.0,1,0,0,0,0,0,5,1,2,2,Other
A47,Talent Acquisition,Next Step Talents Private Limited,,Not Specified,Not Specified,Kolkata,West Bengal,Not Specified,Talent Acquisition & Recruitment,6,6000.0,15000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-next-step-talents-private-limited1784111821,6.0,Long-term,Paid,10500.0,Kolkata,West Bengal,Normal,9000.0,10500.0,1,0,0,0,0,0,2,1,1,0,Other
A48,Campus Relations,K12 Techno Services Private Limited,Education,Educational Institution,Not Specified,Bangalore,Karnataka,Not Specified,Campus Relations Department,6,25000.0,30000.0,Internshala,https://internshala.com/internship/detail/hr-campus-placements-mba-hr-internship-in-bangalore-at-k12-techno-service-private-limited-orchids-international-school1783928059,6.0,Long-term,Paid,27500.0,Bengaluru,Karnataka,Normal,5000.0,27500.0,1,0,0,0,0,0,3,1,2,0,Other
A49,Talent Acquisition,BNM Business Solutions LLP,,Consulting,Not Specified,Navi Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,7500.0,9000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-bnm-business-solutions-llp1785388587,3.0,Medium-term,Paid,8250.0,Navi Mumbai,Maharashtra,Normal,1500.0,8250.0,1,0,0,0,0,0,2,2,0,0,Other
A50,Human Resources,Sedani Digital Private Limited,,Not Specified,Not Specified,Ahmedabad,Gujarat,Not Specified,Talent Acquisition & Recruitment,6,9000.0,16000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-ahmedabad-at-sedani-digital-private-limited1785319030,6.0,Long-term,Paid,12500.0,Ahmedabad,Gujarat,Normal,7000.0,12500.0,1,0,0,0,0,0,5,2,3,0,Other
A51,Human Resources,WeGrowIt Technologies India Private Limited,,Not Specified,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,6,8000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-wegrowit-technologies-india-private-limited1785407961,6.0,Long-term,Paid,9000.0,Bengaluru,Karnataka,Normal,2000.0,9000.0,1,0,0,0,0,0,3,2,1,0,Other
A52,Recruitment,Talent Corner HR Services,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,5000.0,6000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-multiple-locations-at-talent-corner-hr-services1785567858,6.0,Long-term,Paid,5500.0,Pune,Maharashtra,Normal,1000.0,5500.0,1,0,0,0,0,0,2,1,1,0,Other
A53,Recruitment,Talent Corner HR Services,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,Talent Acquisition & Recruitment,6,3000.0,5000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-hyderabad-at-talent-corner-hr-services1785568819,6.0,Long-term,Paid,4000.0,Hyderabad,Telangana,Normal,2000.0,4000.0,1,0,0,0,0,0,2,1,1,0,Other
A54,Recruitment Consultant,GOGig,,Not Specified,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-bangalore-at-gogig1783506817,6.0,Long-term,Paid,12500.0,Bengaluru,Karnataka,Normal,5000.0,12500.0,1,0,0,0,0,0,4,3,1,0,Other
A55,Human Resources,Sarkari School,,Not Specified,Not Specified,,,Remote,Talent Acquisition & Recruitment,3,0.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-sarkari-school1785763039,3.0,Medium-term,Unpaid,,Not Specified,Not Specified,Not Specified,,,0,1,0,0,0,0,4,3,1,0,Other
A56,Human Resources,Techqueto LLP,,Consulting,Not Specified,,,Remote,Talent Acquisition & Recruitment,6,1000.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-techqueto-llp1785760656,6.0,Long-term,Paid,,Not Specified,Not Specified,Not Specified,,,0,1,0,0,0,0,7,4,3,0,Other
A57,Human Resources,Floating Minds Institute,Education,Educational Institution,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,8000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-floating-minds-institute1785757947,3.0,Medium-term,Paid,6500.0,Pune,Maharashtra,Normal,3000.0,6500.0,1,0,0,0,0,0,3,3,0,0,Other
A58,Human Resources,Tanked Ind Aquatic Kingdom,,Not Specified,Not Specified,Ghaziabad,Uttar Pradesh,Not Specified,Talent Acquisition & Recruitment,3,4000.0,5000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-ghaziabad-at-tanked-ind-aquatic-kingdom1785757266,3.0,Medium-term,Paid,4500.0,Ghaziabad,Uttar Pradesh,Normal,1000.0,4500.0,1,0,0,0,0,0,7,4,3,0,Other
A59,Human Resources,Radar Soft Technologies,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8500.0,14500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-radar-soft-technologies1785755656,6.0,Long-term,Paid,11500.0,Pune,Maharashtra,Normal,6000.0,11500.0,1,0,0,0,0,0,3,3,0,0,Other
A60,Human Resources,HerbaMori,,Not Specified,Not Specified,,,Remote,Talent Acquisition & Recruitment,3,1500.0,2500.0,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-herbamori1785750698,3.0,Medium-term,Paid,2000.0,Not Specified,Not Specified,Normal,1000.0,2000.0,1,1,0,0,0,0,7,4,3,0,Other
A61,Human Resources,NK Consultants,,Consulting,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,3,10000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-nk-consultants1785756430,3.0,Medium-term,Paid,,Bengaluru,Karnataka,Not Specified,,,0,0,0,0,0,0,0,0,0,0,Other
A62,Human Resources,Aviserv Airport Services India Private Limited,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-aviserv-airport-services-india-private-limited1785749037,6.0,Long-term,Paid,,Mumbai,Maharashtra,Not Specified,,,0,0,0,0,0,0,4,3,0,1,Other
A63,HR Admin,Ever Expanse,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,HR Operations,6,5000.0,,Internshala,https://internshala.com/internship/detail/hr-admin-executive-internship-in-pune-at-ever-expanse1785756152,6.0,Long-term,Paid,,Pune,Maharashtra,Not Specified,,,0,0,0,0,0,0,0,0,0,0,Other
A64,Recruitment,Codeft Digital,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,Talent Acquisition & Recruitment,3,15000.0,20000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-hyderabad-at-codeft-digital1785755949,3.0,Medium-term,Paid,17500.0,Hyderabad,Telangana,Normal,5000.0,17500.0,1,0,0,0,0,0,3,3,0,0,Other
A65,HR Operations,M R Global Consultants,,Consulting,Not Specified,Gurgaon,Haryana,Not Specified,HR Operations,6,15000.0,,Internshala,https://internshala.com/internship/detail/operations-internship-in-gurgaon-at-m-r-global-consultants1785754276,6.0,Long-term,Paid,,Gurugram,Haryana,Not Specified,,,0,0,0,0,0,0,1,1,0,0,Other
A66,Recruitment,Invisia Software Private Limited,,Not Specified,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,3,5000.0,10000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-invisia-software-private-limited1785750110,3.0,Medium-term,Paid,7500.0,Bengaluru,Karnataka,Normal,5000.0,7500.0,1,0,0,0,0,0,1,1,0,0,Other
A67,Recruitment,Knovator Technologies Pvt Ltd,,Not Specified,Not Specified,Surat,Gujarat,Not Specified,Talent Acquisition & Recruitment,6,12000.0,45000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-surat-at-knovator-technologies-pvt-ltd1785748961,6.0,Long-term,Paid,28500.0,Surat,Gujarat,Normal,33000.0,28500.0,1,0,0,0,0,0,5,4,0,1,Other
A68,Human Resources,Cocentrus,,Not Specified,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,3,5000.0,5001.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-cocentrus1785740760,3.0,Medium-term,Paid,5000.5,Not Specified,Delhi,Normal,1.0,5000.5,1,0,0,0,0,0,2,2,0,0,Other
A69,HR,Charismight,,Not Specified,Not Specified,Navi Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,31000.0,,Internshala,https://internshala.com/internship/detail/junior-executive-hr-internship-in-multiple-locations-at-charismight1785739494,6.0,Long-term,Paid,,Navi Mumbai,Maharashtra,Not Specified,,,0,0,0,0,0,0,4,3,0,1,Other
A70,Human Resources,Millennium Money Finance,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-millennium-money-finance1785728214,3.0,Medium-term,Paid,,Mumbai,Maharashtra,Not Specified,,,0,0,0,0,0,0,5,3,2,0,Other
