Internship_id,Internship_Title,Education_Required,Education_Required_Raw
A118,Human Resources,Not Specified,
A119,HR Generalist,Not Specified,
A120,HR Solutions Analyst,Not Specified,
A121,HR,Not Specified,
A122,HR,Not Specified,
A123,Human Capital Associate,Not Specified,
A124,Human Resources,Graduate,Graduate
A125,Human Resources,Graduate,Graduate
A126,Human Resources,B.Com,B.Com
A126,Human Resources,BA,BA
A127,Recruitment,B.Com,B.Com
A127,Recruitment,BMS,BMS
A128,Recruitment,Diploma,Diploma
A128,Recruitment,Graduate,Graduate
A129,Recruitment,Business Administration,Business Administration
A130,Talent Acquisition,Graduate,Graduate
A131,HR,MBA,MBA
A131,HR,PGDM,PGDM
A131,HR,Master's,Master's
A132,Recruitment,Business Administration,Business Administration
A132,Recruitment,Psychology,Psychology
A133,HR,BBA,BBA
A133,HR,HR,HR
A134,HR Admin,Graduate,Graduate
A135,HR Intern,Graduate,Graduate
A136,HR Intern,Graduate,Graduate
A137,HR Intern,Graduate,Graduate
A138,HR Intern,B.Com,B.Com
A139,HR Intern,BA,BA
A140,HR Recruiter Intern,B.Com,B.Com
A141,HR Recruiter Intern,BMS,BMS
A142,Talent Acquisition Intern,Diploma,Diploma
A143,Talent Acquisition Intern,B.Com,B.Com
A144,Talent Acquisition Intern,12th Pass,12th Pass
A145,Talent Acquisition Intern,Graduate,Graduate
A146,HR Recruiter Intern,Graduate (HR / Business Administration),Graduate (HR / Business Administration)
A147,HR Recruiter Intern,Graduate,Graduate
A148,HR & Digital Marketing Intern,MBA,MBA
A149,HR & Digital Marketing Intern,PGDM,PGDM
A150,HR & Digital Marketing Intern,M.Com,M.Com
A151,HR Recruiter Intern,Graduate (HR / Business Administration / Psychology),Graduate (HR / Business Administration / Psychology)
A152,HR Intern,Graduate (HR / Business Administration / Psychology),Graduate (HR / Business Administration / Psychology)
A153,HR Intern,Graduate (HR / Business Administration / Psychology),Graduate (HR / Business Administration / Psychology)
A154,HR Intern,Graduate (Business/HR),Graduate (Business/HR)
A155,HR Coordination Intern,Graduate,Graduate
A156,HR Coordination Intern,Final-year Student,Final-year Student
A157,Campus Relations,Not Specified,
A158,Human Resources,Not Specified,
A159,HR,MBA,MBA
A160,Human Resources,MBA,MBA
A161,Human Resources,Not Specified,
A162,Human Resources,Graduate,Graduate
A163,Talent Acquisition,MBA,MBA
A163,Talent Acquisition,BBA,BBA
A163,Talent Acquisition,Graduate,Graduate
A164,Recruitment,Not Specified,
A165,HR trainee,MBA,MBA
A166,Human Resources,Not Specified,
A167,Human Resources,MBA,MBA
A168,Human Resources,Not Specified,
A169,Human Resources,Not Specified,
A170,Human Resources,Master's Degree,Master's Degree
A170,Human Resources,Bachelor's Degree,Bachelor's Degree
A171,Human Resources,Not Specified,
A172,Human Resources,MBA,MBA
A173,Human Resources,MBA,MBA
A173,Human Resources,BBA,BBA
A174,Human Resources,Not Specified,
A175,Human Resources,MBA,MBA
A176,Human Resources,MBA,MBA
A177,Human Resources,MBA,MBA
A177,Human Resources,Postgraduate,Postgraduate
A177,Human Resources,Any Degree,Any Degree
A177,Human Resources,Graduate,Graduate
A178,Recruitment,Not Specified,
A179,Talent Acquisition,Not Specified,
A180,Human Resources,Not Specified,
A181,Human Resources,Not Specified,
A182,Talent Acquisition,Not Specified,
A183,Human Resources,Not Specified,
A184,Human Resources,Not Specified,
A185,HR Psychology,Bachelor's Degree,Bachelor's Degree
A186,Human Resources,Not Specified,
A187,Human Resources,Not Specified,
A188,Human Resources,Not Specified,
A189,Human Resources,Not Specified,
A190,Human Resources,Not Specified,
A191,Talent Acquisition,MBA,MBA
A192,Human Resources,Not Specified,
A193,Human Resources,Not Specified,
A194,HR Generalist,Not Specified,
A195,Human Resources,Not Specified,
A196,HR admin,Not Specified,
A197,Talent Acquisition,MBA,MBA
A197,Talent Acquisition,BBA,BBA
A197,Talent Acquisition,Postgraduate,Postgraduate
A197,Talent Acquisition,Graduate,Graduate
A198,Recruitment Consultant,MBA,MBA
A198,Recruitment Consultant,Graduate,Graduate
A199,Human Resources,Not Specified,
A200,Talent Acquisition,MBA,MBA
A201,Talent Acquisition,Not Specified,
A202,Recruitment,Not Specified,
A203,Talent Acquisition,Not Specified,
A204,Campus Relations,MBA,MBA
A205,Recruitment Consultant,Not Specified,
A206,Talent Acquisition,Not Specified,
A207,Human Resources,Not Specified,
A208,Human Resources,Not Specified,
A209,Recruitment,Not Specified,
A210,Recruitment,MBA,MBA
A211,Talent Acquisition,MBA,MBA
A212,Human Resources,MBA,MBA
A213,Talent Acquisition,Not Specified,
A214,Talent Acquisition,Not Specified,
A215,Human Resources,Not Specified,
A216,Human Resources,Graduate,Graduate
A217,Human Resources,Not Specified,
A218,Human Resources,Not Specified,
A219,Recruitment Consultant,Not Specified,
A220,Recruitment,Not Specified,
A221,Recruitment Consultant,Not Specified,
A222,Recruitment,Not Specified,
A223,Human Resources,Not Specified,
A224,Human Resources,Any Degree,Any Degree
A224,Human Resources,Graduate,Graduate
A225,Human Resources,Not Specified,
A226,Recruitment,Not Specified,
A227,Human Resources,Not Specified,
A228,Human Resources,MBA,MBA
A228,Human Resources,BBA,BBA
A229,Human Resources,MBA,MBA
A229,Human Resources,BBA,BBA
A229,Human Resources,Graduate,Graduate
A230,Human Resources,Not Specified,
A231,Human Resources,MBA,MBA
A232,HR admin,Not Specified,
A233,Recruitment,Bachelor's Degree,Bachelor's Degree
A234,Recruitment,Bachelor's Degree,Bachelor's Degree
A234,Recruitment,Graduate,Graduate
A235,HR,Not Specified,
A236,Human Resources,MBA,MBA
A236,Human Resources,BBA,BBA
A237,Human Resources,Not Specified,
A238,Recruitment,Not Specified,
A239,Recruitment,Not Specified,
A240,Human Resources,MBA,MBA
A240,Human Resources,Master's Degree,Master's Degree
A240,Human Resources,Bachelor's Degree,Bachelor's Degree
A241,Recruitment,MBA,MBA
A241,Recruitment,BBA,BBA
A241,Recruitment,B.Tech,B.Tech
A242,Talent Acquisition,MBA,MBA
A243,Recruitment,Not Specified,
A244,Human Resources,Not Specified,
A245,Recruitment,Not Specified,
A246,Human Resources,MBA,MBA
A247,Human Resources,Not Specified,
A248,Talent Acquisition,Not Specified,
A249,Recruitment,Not Specified,
A250,Human Resources,Not Specified,
A251,Human Resources,Not Specified,
A252,Human Resources,Not Specified,
A253,Human Resources,Not Specified,
A254,Human Resources,Not Specified,
A255,Recruitment,Not Specified,
A256,Human Resources,Not Specified,
A257,Recruitment,MBA,MBA
A257,Recruitment,BBA,BBA
A257,Recruitment,Any Degree,Any Degree
A257,Recruitment,Graduate,Graduate
A258,Human Resources,Not Specified,
A259,Human Resources,Not Specified,
A260,Recruitment,Not Specified,
A261,Human Resources,Not Specified,
A262,Talent Acquisition,Not Specified,
A263,Human Resources,Not Specified,
A264,Recruitment,Not Specified,
A265,Human Resources,MBA,MBA
A266,Human Resources,Not Specified,
A267,HR operations,Bachelor's Degree,Bachelor's Degree
A268,Human Resources,Not Specified,
A269,Human Resources,Not Specified,
A270,Human Resources,Not Specified,
A271,Recruitment,Any Degree,Any Degree
A271,Recruitment,Graduate,Graduate
A272,Recruitment Consultant,Not Specified,
A273,Human Resources,Not Specified,
A274,Talent Acquisition,Not Specified,
A275,Associate Recruiter,Master's Degree,Master's Degree
A275,Associate Recruiter,Bachelor's Degree,Bachelor's Degree
A276,Human Resources,Not Specified,
A277,Recruitment,Not Specified,
A278,Human Resources,MBA,MBA
A279,Recruitment,MBA,MBA
A280,Human Resources,Not Specified,
A281,Human Resources,Not Specified,
A282,Human Resources,MBA,MBA
A283,Human Resources,Not Specified,
A284,HR operations,Not Specified,
A285,Human Resources,MBA,MBA
A286,Human Resources,MBA,MBA
A286,Human Resources,BBA,BBA
A287,Human Resources,Not Specified,
A288,Human Resources,Not Specified,
A289,Human Resources,Not Specified,
A290,HR Psychology,Not Specified,
A291,Recruitment,Not Specified,
A292,Human Resources,Not Specified,
A293,Human Resources,Not Specified,
A294,Human Resources,Not Specified,
A295,HR Generalist,Not Specified,
A296,Human Resources,Graduate,Graduate
A297,Human Resources,MBA,MBA
A298,Human Resources,Not Specified,
A299,Talent Acquisition,Not Specified,
A300,Human Resources,Not Specified,
A301,Talent Acquisition,Not Specified,
A302,Recruitment,MBA,MBA
A303,Human Resources,Master's Degree,Master's Degree
A303,Human Resources,Bachelor's Degree,Bachelor's Degree
A304,Human Resources,Not Specified,
A305,Talent Acquisition,Not Specified,
A306,Talent Acquisition,Not Specified,
A307,Human Resources,Not Specified,
A308,Talent Acquisition,Bachelor's Degree,Bachelor's Degree
A309,Recruitment,Bachelor's Degree,Bachelor's Degree
A310,Recruitment Consultant,Not Specified,
A311,Human Resources,Not Specified,
A312,Human Resources,MBA,MBA
A313,Human Resources,Graduate,Graduate
A314,Recruitment,Not Specified,
A315,Human Resources,Master's Degree,Master's Degree
A315,Human Resources,Bachelor's Degree,Bachelor's Degree
A316,Human Resources,MBA,MBA
A317,Human Resources,Not Specified,
A318,Human Resources,MBA,MBA
A318,Human Resources,BBA,BBA
A319,Human Resources,MBA,MBA
A320,Human Resources,Not Specified,
A321,Recruitment Consultant,Not Specified,
A322,Human Resources,Not Specified,
A323,Human Resources,Graduate,Graduate
A324,Human Resources,Not Specified,
A325,Human Resources,Master's Degree,Master's Degree
A325,Human Resources,Bachelor's Degree,Bachelor's Degree
A325,Human Resources,Graduate,Graduate
A326,Human Resources,Not Specified,
A327,Recruitment,Not Specified,
A328,Talent Acquisition,Not Specified,
A329,Talent Acquisition,Not Specified,
A330,Talent Acquisition,Not Specified,
A331,Human Resources,Not Specified,
A332,Recruitment,Not Specified,
A333,Human Resources,Bachelor's Degree,Bachelor's Degree
A333,Human Resources,B.Tech,B.Tech
A334,Recruitment Consultant,Not Specified,
A335,Human Resources,MBA,MBA
A335,Human Resources,Graduate,Graduate
A336,Recruitment,Not Specified,
A337,Recruitment,Not Specified,
A338,Human Resources,Not Specified,
A339,Recruitment,Not Specified,
A340,Recruitment,Not Specified,
A341,Human Resources,MBA,MBA
A342,Human Resources,Not Specified,
A343,Human Resources,Not Specified,
A344,Recruitment,Graduate,Graduate
A345,Human Resources,Not Specified,
A346,Talent Acquisition,Not Specified,
A347,Human Resources,Not Specified,
A348,HR Psychology,Not Specified,
A349,Recruitment,Bachelor's Degree,Bachelor's Degree
A350,Human Resources,Not Specified,
A351,Talent Acquisition,MBA,MBA
A351,Talent Acquisition,BBA,BBA
A351,Talent Acquisition,Any Degree,Any Degree
A351,Talent Acquisition,Graduate,Graduate
A352,HR Intern,Not Specified,
A353,Human Resources,Not Specified,
A354,Human Resources,MBA,MBA
A354,Human Resources,BBA,BBA
A354,Human Resources,Bachelor's Degree,Bachelor's Degree
A355,Recruitment,Not Specified,
A356,Talent Acquisition,Bachelor's Degree,Bachelor's Degree
A357,Human Resources,MBA,MBA
A358,Recruitment,Not Specified,
A359,Recruitment,Not Specified,
A360,Human Resources,Not Specified,
A361,Recruitment,Not Specified,
A362,Human Resources,Master's Degree,Master's Degree
A362,Human Resources,Bachelor's Degree,Bachelor's Degree
A363,Human Resources,Not Specified,
A364,Talent Acquisition,Postgraduate,Postgraduate
A364,Talent Acquisition,Graduate,Graduate
A365,Human Resources,Not Specified,
A366,Human Resources,Not Specified,
A367,Recruitment,Not Specified,
A368,Human Resources,MBA,MBA
A369,Talent Acquisition,MBA,MBA
A370,Human Resources,Not Specified,
A371,Recruitment,Not Specified,
A372,Human Resources,MBA,MBA
A373,Human Resources,Not Specified,
A374,Human Resources,Not Specified,
A375,Human Resources,Not Specified,
A376,Talent Acquisition,MBA,MBA
A377,Human Resources,Not Specified,
A378,Recruitment,MBA,MBA
A379,Human Resources,Not Specified,
A380,Talent Acquisition,Not Specified,
A381,HR admin,Not Specified,
A382,Talent Acquisition,Not Specified,
A383,Human Resources,Not Specified,
A384,Human Resources,Bachelor's Degree,Bachelor's Degree
A385,HR,Not Specified,
A386,Human Resources,MBA,MBA
A387,Human Resources,MBA,MBA
A388,Human Resources,Graduate,Graduate
A389,Human Resources,Graduate,Graduate
A390,Talent Acquisition,Any Degree,Any Degree
A390,Talent Acquisition,Graduate,Graduate
A391,Human Resources,Not Specified,
A392,Human Resources,Not Specified,
A393,HR,MBA,MBA
A393,HR,Bachelor's Degree,Bachelor's Degree
A394,Human Resources,MBA,MBA
A395,Human Resources,Not Specified,
A396,Human Resources,Not Specified,
A397,Talent Acquisition,Not Specified,
A398,Recruitment,Not Specified,
A399,Talent Acquisition,Not Specified,
A400,Human Resources,MBA,MBA
A400,Human Resources,BBA,BBA
A400,Human Resources,Graduate,Graduate
A401,Human Resources,Not Specified,
A402,Talent Acquisition,Not Specified,
A403,Human Resources,Not Specified,
A404,HR admin,Not Specified,
A405,Recruitment,Not Specified,
A406,Human Resources,MBA,MBA
A406,Human Resources,Master's Degree,Master's Degree
A406,Human Resources,Bachelor's Degree,Bachelor's Degree
A406,Human Resources,Graduate,Graduate
A407,Human Resources,Not Specified,
A408,Human Resources,Not Specified,
A409,Human Resources,MBA,MBA
A410,Human Resources,MBA,MBA
A411,Human Resources,Not Specified,
A412,Human Resources,Not Specified,
A413,Human Resources,Not Specified,
A414,Talent Acquisition,Graduate,Graduate
A415,Human Resources,Not Specified,
A416,Human Resources,Not Specified,
A417,Human Resources,MBA,MBA
A418,Human Resources,MBA,MBA
A419,Human Resources,Not Specified,
A420,Recruitment,Not Specified,
A421,Human Resources,Not Specified,
A422,Human Resources,Not Specified,
A423,Human Resources,MBA,MBA
A424,Human Resources,MBA,MBA
A425,Recruitment Consultant,Not Specified,
A426,Recruitment,Postgraduate,Postgraduate
A426,Recruitment,Graduate,Graduate
A427,Human Resources,Not Specified,
A428,Human Resources,MBA,MBA
A429,Human Resources,Master's Degree,Master's Degree
A429,Human Resources,Bachelor's Degree,Bachelor's Degree
A430,Human Resources,Graduate,Graduate
A431,Human Resources,Not Specified,
A432,Human Resources,Not Specified,
A433,HR,Not Specified,
A434,Human Resources,MBA,MBA
A435,Human Resources,Not Specified,
A436,HR,Not Specified,
A437,Human Resources,MBA,MBA
A438,Human Resources,Not Specified,
A439,Talent Acquisition,Not Specified,
A440,Human Resources,Not Specified,
A441,Human Resources,Not Specified,
A442,Human Resources,Not Specified,
A443,Human Resources,Not Specified,
A444,Talent Acquisition,Not Specified,
A445,Human Resources,Not Specified,
A446,Recruitment,Not Specified,
A447,Human Resources,Not Specified,
A448,HR Intern,Not Specified,
A449,Human Resources,Not Specified,
A450,Human Resources,Not Specified,
A451,Talent Acquisition,Not Specified,
A452,Human Resources,Not Specified,
A453,Human Resources,Not Specified,
A454,Recruitment,MBA,MBA
A454,Recruitment,Master's Degree,Master's Degree
A454,Recruitment,Graduate,Graduate
A455,Talent Acquisition,Not Specified,
A456,Human Resources,Not Specified,
A457,Human Resources,Not Specified,
A458,Recruitment,Not Specified,
A459,Recruitment,Postgraduate,Postgraduate
A459,Recruitment,Graduate,Graduate
A460,HR,Not Specified,
A461,Human Resources,Not Specified,
A462,Human Resources,Not Specified,
A463,Recruitment,Not Specified,
A464,Talent Acquisition,MBA,MBA
A464,Talent Acquisition,BBA,BBA
A465,Talent Acquisition,Not Specified,
A466,Human Resources,Not Specified,
A467,Recruitment,Not Specified,
A468,Human Resources,Not Specified,
A469,Human Resources,Not Specified,
A470,HR operations,Not Specified,
A471,Recruitment,Not Specified,
A472,Human Resources,MBA,MBA
A473,Human Resources,Not Specified,
A474,Human Resources,Not Specified,
A475,Talent Acquisition,Not Specified,
A476,HR Intern,Not Specified,
A477,Human Resources,Not Specified,
A478,Human Resources,MBA,MBA
A479,Recruitment,Not Specified,
A480,Talent Acquisition,MBA,MBA
A481,Human Resources,Not Specified,
A482,Human Resources,Not Specified,
A483,Human Resources,Not Specified,
A484,Recruitment Consultant,Not Specified,
A485,Human Resources,Not Specified,
A486,Human Resources,MBA,MBA
A486,Human Resources,BBA,BBA
A487,HR operations,Not Specified,
A488,Human Resources,MBA,MBA
A488,Human Resources,BBA,BBA
A489,Human Resources,Not Specified,
A490,Human Resources,Not Specified,
A491,Talent Acquisition,Not Specified,
A492,Human Resources,Not Specified,
A493,Human Resources,Master's Degree,Master's Degree
A493,Human Resources,Bachelor's Degree,Bachelor's Degree
A494,Human Resources,Not Specified,
A495,Human Resources,Not Specified,
A496,Human Resources,Not Specified,
A497,Talent Acquisition,Not Specified,
A498,HR operations,MBA,MBA
A498,HR operations,Bachelor's Degree,Bachelor's Degree
A499,Human Resources,Not Specified,
A500,Human Resources,MBA,MBA
A501,Human Resources,Not Specified,
A502,HR,Not Specified,
A503,Recruitment,Not Specified,
A504,Human Resources,Graduate,Graduate
A505,Recruitment,Not Specified,
A506,Human Resources,Not Specified,
A507,Human Resources,Not Specified,
A508,HR,MBA,MBA
A508,HR,Graduate,Graduate
A509,Human Resources,Not Specified,
A510,Human Resources,Not Specified,
A511,Human Resources,Not Specified,
A512,Human Resources,Not Specified,
A513,Human Resources,Not Specified,
A514,Recruitment,Master's Degree,Master's Degree
A514,Recruitment,Bachelor's Degree,Bachelor's Degree
A515,Recruitment,Not Specified,
A516,Talent Acquisition,Not Specified,
A517,Human Resources,Not Specified,
A518,Human Resources,Not Specified,
A519,HR,Not Specified,
A520,Human Resources,Master's Degree,Master's Degree
A520,Human Resources,Bachelor's Degree,Bachelor's Degree
A520,Human Resources,Graduate,Graduate
A521,Recruitment Consultant,Not Specified,
A522,Human Resources,Not Specified,
A523,HR,Not Specified,
A524,Recruitment,Not Specified,
A525,HR,Not Specified,
A526,Human Resources,Master's Degree,Master's Degree
A526,Human Resources,Bachelor's Degree,Bachelor's Degree
A527,Talent Acquisition,MBA,MBA
A527,Talent Acquisition,Bachelor's Degree,Bachelor's Degree
A528,Talent Acquisition,Not Specified,
A529,HR,Not Specified,
A530,Talent Acquisition,Not Specified,
A531,HR trainee,Master's Degree,Master's Degree
A531,HR trainee,Bachelor's Degree,Bachelor's Degree
A532,Human Resources,Not Specified,
A533,Talent Acquisition,Not Specified,
A534,Human Resources,Not Specified,
A535,Human Resources,Not Specified,
A536,Human Resources,MBA,MBA
A537,Recruitment,Not Specified,
A538,Recruitment,MBA,MBA
A539,Human Resources,MBA,MBA
A540,Talent Acquisition,MBA,MBA
A540,Talent Acquisition,Graduate,Graduate
A541,HR trainee,Not Specified,
A542,Human Resources,Not Specified,
A543,HR,Not Specified,
A544,Recruitment,Not Specified,
A545,Human Resources,Not Specified,
A546,Recruitment,Not Specified,
A547,Human Resources,Not Specified,
A548,Human Resources,Master's Degree,Master's Degree
A548,Human Resources,Bachelor's Degree,Bachelor's Degree
A549,Recruitment,Not Specified,
A550,Recruitment Consultant,Bachelor's Degree,Bachelor's Degree
A551,Human Resources,Not Specified,
A552,Human Resources,Bachelor's Degree,Bachelor's Degree
A553,Recruitment Consultant,Not Specified,
A554,Talent Acquisition,Not Specified,
A555,Human Resources,Not Specified,
A556,Recruitment Consultant,MBA,MBA
A556,Recruitment Consultant,Master's Degree,Master's Degree
A556,Recruitment Consultant,Bachelor's Degree,Bachelor's Degree
A557,HR,Not Specified,
A558,Human Resources,Not Specified,
A559,Talent Acquisition,Not Specified,
A560,Recruitment Consultant,Not Specified,
A561,HR admin,Not Specified,
A562,Human Resources,Not Specified,
A563,Human Resources,Not Specified,
A564,Human Resources,Not Specified,
A565,Talent Acquisition,MBA,MBA
A565,Talent Acquisition,Bachelor's Degree,Bachelor's Degree
A566,Human Resources,Not Specified,
A567,Recruitment,Not Specified,
A568,Recruitment,MBA,MBA
A568,Recruitment,Graduate,Graduate
A569,Recruitment,Not Specified,
A570,Recruitment,Not Specified,
A571,Recruitment,MBA,MBA
A571,Recruitment,Graduate,Graduate
A572,HR Intern,Bachelor's Degree,Bachelor's Degree
A573,Human Resources,Not Specified,
A574,Human Resources,Not Specified,
A575,Human Resources,Not Specified,
A576,Recruitment,Graduate,Graduate
A577,Human Resources,Not Specified,
A578,Talent Acquisition,Not Specified,
A579,Human Resources,Not Specified,
A580,Human Resources,Not Specified,
A581,Human Resources,Not Specified,
A582,Talent Acquisition,Not Specified,
A583,Human Resources,Not Specified,
A584,Talent Acquisition,Not Specified,
A585,Human Resources,MBA,MBA
A585,Human Resources,BBA,BBA
A586,Recruitment,Not Specified,
A587,Human Resources,Not Specified,
A588,Human Resources,Not Specified,
A589,Human Resources,Not Specified,
A590,Human Resources,Not Specified,
A591,Human Resources,Not Specified,
A592,Human Resources,MBA,MBA
A593,Human Resources,MBA,MBA
A594,Talent Acquisition,Not Specified,
A595,Human Resources,Not Specified,
A596,Human Resources,MBA,MBA
A597,Human Resources,Not Specified,
A598,Recruitment,Not Specified,
A599,Human Resources,Not Specified,
A600,Human Resources,Not Specified,
A601,Human Resources,Not Specified,
A602,Human Resources,Not Specified,
A603,Recruitment,Not Specified,
A604,Human Resources,Not Specified,
A605,Human Resources,Not Specified,
A606,Human Resources,MBA,MBA
A607,HR,Not Specified,
A608,Human Resources,MBA,MBA
A609,Human Resources,MBA,MBA
A610,Human Resources,Not Specified,
A611,Human Resources,Postgraduate,Postgraduate
A611,Human Resources,Graduate,Graduate
A612,Recruitment Consultant,Not Specified,
A613,Talent Acquisition,MBA,MBA
A613,Talent Acquisition,Graduate,Graduate
A614,Human Resources,MBA,MBA
A614,Human Resources,Bachelor's Degree,Bachelor's Degree
A615,Human Resources,MBA,MBA
A615,Human Resources,BBA,BBA
A616,Human Resources,Not Specified,
A617,Talent Acquisition,MBA,MBA
A618,Human Resources,Not Specified,
A619,Human Resources,Not Specified,
A620,Human Resources,Not Specified,
A621,Human Resources,Not Specified,
A622,HR Intern,Not Specified,
A623,HR Intern,Not Specified,
A624,HR Solution Analyst,Not Specified,
A625,Human Resources,Not Specified,
A626,HR,Not Specified,
A627,HR,Not Specified,
A628,Human Resources,MBA,MBA
A629,Human Resources,Not Specified,
A630,HR,Not Specified,
A631,HR,MBA,MBA
A632,Human Resources,Not Specified,
A633,HR,Not Specified,
A634,HR,Not Specified,
A635,HR,MBA,MBA
A636,HR,Not Specified,
A637,HR operations,Not Specified,
A638,HR,Not Specified,
A639,HR,Not Specified,
A640,Campus Relations,Not Specified,
A641,HR operations,Not Specified,
A642,Human Resources,Not Specified,
A643,Human Resources,MBA,MBA
A644,Human Resources,Not Specified,
A645,HR,Not Specified,
A646,HR operations,Not Specified,
A647,HR,Not Specified,
A648,HR operations,Not Specified,
A649,HR,MBA,MBA
A650,HR,MBA,MBA
A651,HR,MBA,MBA
A651,HR,B.Tech,B.Tech
A651,HR,Graduate,Graduate
A652,HR,Not Specified,
A653,HR,MBA,MBA
A654,HR,MBA,MBA
A655,HR,Not Specified,
A656,Human Resources,Not Specified,
A657,Talent Acquisition,MBA,MBA
A658,HR,Not Specified,
A659,Talent Acquisition,Not Specified,
A660,HR,Not Specified,
A661,HR operations,Not Specified,
A662,HR,Not Specified,
A663,HR,Not Specified,
A664,HR,Not Specified,
A665,HR,Not Specified,
A666,Human Resources,Not Specified,
A667,HR,MBA,MBA
A668,Recruitment,Not Specified,
A669,HR,Not Specified,
A670,Talent Acquisition,Not Specified,
A671,HR operations,Not Specified,
A672,HR operations,MBA,MBA
A672,HR operations,Any Degree,Any Degree
A672,HR operations,Graduate,Graduate
A673,HR,MBA,MBA
A674,Recruitment,Not Specified,
A675,Recruitment,Not Specified,
A676,HR,Not Specified,
A677,Recruitment,MBA,MBA
A678,HR,Not Specified,
A679,HR,MBA,MBA
A680,Recruitment,MBA,MBA
A681,HR Solution Analyst,Not Specified,
A682,HR,Not Specified,
A683,Talent Acquisition,Not Specified,
A684,Human Resources,Not Specified,
A685,Talent Acquisition,Not Specified,
A686,HR,Not Specified,
A687,HR Intern,Not Specified,
A688,HR,Graduate,Graduate
A689,HR,Not Specified,
A690,Talent Acquisition,Not Specified,
A691,HR operations,Not Specified,
A692,HR,Not Specified,
A693,HR,Not Specified,
A694,HR,Not Specified,
